"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R9,R14,R6,R5,R3,R2,R4";"R_0201_0603Metric";7;"10K";;;
2;"C25,C44,C1,C24,C47,C2";"C_0201_0603Metric";6;"10pF";;;
3;"C51,C4,C54,C8,C14,C9,C21,C13";"C_0201_0603Metric";8;"0.1uF";;;
4;"U1";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"ESP32-C3";;;
5;"C5,C16,C7,C31,C22";"C_0201_0603Metric";5;"1uF";;;
6;"AE1";"PinHeader_1x02_P1.00mm_Vertical";1;"Antenna_Shield";;;
7;"C37,C30,C26,C38,C36,C39";"C_0201_0603Metric";6;"2.2uF";;;
8;"U3";"DRV6_1P6X1";1;"TPS62291DRVR";;;
9;"C17,C53,C15,C52";"C_0201_0603Metric";4;"4.7uF";;;
10;"C27,C33,C28,C34,C32,C29,C12";"C_0201_0603Metric";7;"10nF";;;
11;"IC4";"SON50P160X120X60-5N-D";1;"MIC5303-1.8YMT-TR";;;
12;"L7";"L_0603_1608Metric";1;"2.2uH 1A";;;
13;"J4";"PinHeader_1x02_P1.00mm_Vertical";1;"NFC_ANTENNA";;;
14;"R8";"R_0201_0603Metric";1;"5.23K";;;
15;"D1";"D_0603_1608Metric";1;"D_Schottky";;;
16;"C42,C43";"C_0201_0603Metric";2;"680pF";;;
17;"J10";"23287024";1;"2328702-4";;;
18;"C18,C19,C6,C50,C3,C23,C20";"C_0402_1005Metric";7;"10uF";;;
19;"J7";"PinHeader_1x02_P1.00mm_Vertical";1;"Phototransistor";;;
20;"Y1";"Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm";1;"40MHz";;;
21;"U4";"RTE16_1P7X1P7";1;"TPS65136RTER";;;
22;"L5,L4";"L_0603_1608Metric";2;"500mΩ 270nH";;;
23;"C45,C46";"C_0201_0603Metric";2;"144pF";;;
24;"R11,R10";"R_0201_0603Metric";2;"1.8";;;
25;"C11,C10";"C_0201_0603Metric";2;"1pF";;;
26;"J8";"PinHeader_1x02_P1.00mm_Vertical";1;"vibro";;;
27;"IC6";"QFN65P300X300X84-12N";1;"DA7280-00FV2";;;
28;"R13";"R_0201_0603Metric";1;"249K";;;
29;"IC3";"QFN40P180X260X55-16N";1;"TCA6408ARSVR";;;
30;"U2";"WQFN-HR18__RYK_TEX";1;"BQ25628ERYKR";;;
31;"J6";"6pin_conn";1;"6pin_conn";;;
32;"J9";"PinHeader_1x02_P1.00mm_Vertical";1;"side button";;;
33;"L2";"L_0201_0603Metric";1;"2.1nH  600mA";;;
34;"IC2";"ST25R3916-AQET";1;"ST25R3916-AQET";;;
35;"L6";"L_0603_1608Metric";1;"2.2uH 1.0A";;;
36;"C40,C41";"C_0201_0603Metric";2;"220pF";;;
37;"L3";"L_0402_1005Metric";1;"1.0uH 0.5A";;;
38;"R7";"R_0201_0603Metric";1;"30.1K";;;
39;"IC1";"ICM42670P";1;"ICM-42670-P";;;
40;"C35";"C_0201_0603Metric";1;"1nF";;;
41;"C48,C49";"C_0201_0603Metric";2;"161pF";;;
42;"Y2";"Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm";1;"27.12MHz";;;
43;"R1";"R_0201_0603Metric";1;"0";;;
44;"R12";"R_0201_0603Metric";1;"464K";;;
45;"IC5";"SON40P120X180X40-8N";1;"TXS0102DQMR";;;
46;"J2";"PinHeader_1x02_P1.00mm_Vertical";1;"TERMISTOR";;;
47;"L1";"L_0201_0603Metric";1;"2.0nH 500mA";;;
48;"J5";"CONN-SMD_24P-P0.40_OK-14GF024-04_2.1INCH";1;"Conn_02x12_Counter_Clockwise_MountingPin";;;
49;"J3";"BattSolderPads";1;"BAT_CONN";;;
50;"TP2,TP1";"TestPoint_Pad_D1.0mm";2;"TestPoint";;;
